street_code,name_es,name_eu,lon,lat,units,vut,hut,beds
3960,"Renteria, Calle de",Errenteria Kalea,-1.968309,43.322654,8,7,1,28
4230,"San Juan, Calle de",San Joan Kalea,-1.983603,43.324205,8,4,4,25
4730,"Trueba, Calle de",Trueba Kalea,-1.974955,43.322885,8,8,0,31
2220,"Iparragirre, Calle de",Iparragirre Kalea,-1.975594,43.322425,7,7,0,32
2390,"Jose Maria Soroa, Calle de",Jose Maria Soroa Kalea,-1.9701,43.32299,7,6,1,30
2800,"Madrid, Avenida de",Madril Hiribidea,-1.975838,43.303606,7,7,0,28
30,"Agirre Miramon, Calle de",Agirre Miramon Kalea,-1.978159,43.322514,7,5,2,26
4960,"Bergara, Calle de",Bergara Kalea,-1.980459,43.319351,7,7,0,27
5210,"Zumalakarregi, Avenida de",Zumalakarregi Hiribidea,-2.003178,43.314293,7,7,0,40
580,"Autonomia, Calle de la",Autonomia Kalea,-1.982164,43.311817,7,6,1,25
650,"Balleneros, Calle de los",Baleazaleen Kalea,-1.974598,43.305458,7,6,1,25
830,"Buen Pastor, Plaza del",Artzain Onaren Plaza,-1.982051,43.317241,7,6,1,33
100,"Alcalde Jose Elosegi, Avenida del",Jose Elosegi Alkatearen Hiribidea,-1.943492,43.321367,6,3,3,25
1050,"Catalina de Erauso, Calle de",Katalina Erauso Kalea,-1.981689,43.304669,6,5,1,27
1515,"Barcelona, Avenida de",Barcelona Hiribidea,-1.971907,43.310708,6,6,0,29
1680,"Eustasio Amilibia, Calle de",Eustasio Amilibia Kalea,-1.977409,43.305739,6,6,0,22
1710,"Fe, Paseo de la",La Fe Pasealekua,-1.991283,43.313452,6,5,1,30
2380,"Jose Maria Salaberria, Calle de",Jose Maria Salaberria Kalea,-1.98075,43.305814,6,5,1,24
